Time,Size,Location,County,State,Lat,Lon,Comments
1945,100,3 S La Belle,Hendry,FL,26.72,-81.44,Hail of dime to quarter coin size reported around 3 miles south of La Belle on SR 29. (MFL)
2138,100,1 S Brookline,Hillsborough,NH,42.72,-71.66,Reported by Weather Spotter. Time estimated by radar. (GYX)
2210,150,1 NNW Buford,Albany,WY,41.13,-105.31,Public report of accumulating dime size hail along Interstate 80. Hail about 1 to 3 inches deep in some areas. A few estimated ping pong ball sized hailstones mixed in (CYS)
2238,100,1 S Arkansas City,Cowley,KS,37.05,-97.04,KAKE storm spotter reported a few quarter size hail stones in south part of Arkansas City. (ICT)
2250,100,Davenport,Scott,IA,41.55,-90.6,Occurring right now. (DVN)
2300,100,4 N Natural Fort,Laramie,WY,41.02,-104.9,Report from mPING: Quarter (1.00 in.). (CYS)
