total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
1799.0,20.0,242.0,715.0,495.0,231.0,96.0,269.0,38.0,86.0,31,025,965700,2172.0,1.20733740967204,31025965700
946.0,10.0,72.0,358.0,291.0,122.0,93.0,129.0,4.0,24.0,31,025,965800,1093.0,1.1553911205073997,31025965800
1634.0,12.0,351.0,589.0,408.0,156.0,118.0,244.0,21.0,82.0,31,025,965900,1969.0,1.2050183598531212,31025965900
1540.0,34.0,203.0,700.0,360.0,171.0,72.0,147.0,12.0,21.0,31,025,966000,1686.0,1.094805194805195,31025966000
1292.0,22.0,340.0,584.0,233.0,68.0,45.0,567.0,50.0,297.0,31,025,966100,2184.0,1.6904024767801857,31025966100
1521.0,52.0,244.0,542.0,310.0,257.0,116.0,209.0,14.0,55.0,31,027,977100,1747.0,1.148586456278764,31027977100
1198.0,11.0,180.0,505.0,341.0,91.0,70.0,373.0,40.0,135.0,31,027,977200,1735.0,1.4482470784641068,31027977200
1159.0,35.0,160.0,417.0,255.0,232.0,60.0,355.0,7.0,214.0,31,029,961900,1700.0,1.4667817083692838,31029961900
1055.0,5.0,299.0,300.0,307.0,94.0,50.0,594.0,132.0,219.0,31,031,955800,1995.0,1.8909952606635072,31031955800
234.0,5.0,23.0,89.0,72.0,6.0,39.0,266.0,3.0,83.0,31,031,955900,581.0,2.482905982905983,31031955900
1071.0,20.0,148.0,409.0,190.0,157.0,147.0,220.0,16.0,65.0,31,033,954800,1352.0,1.2623716153127917,31033954800
1015.0,3.0,252.0,419.0,204.0,53.0,84.0,704.0,118.0,376.0,31,033,954900,2210.0,2.1773399014778323,31033954900
681.0,35.0,139.0,301.0,104.0,71.0,31.0,592.0,23.0,443.0,31,033,955000,1704.0,2.502202643171806,31033955000
1079.0,7.0,120.0,502.0,308.0,89.0,53.0,245.0,14.0,130.0,31,035,962100,1461.0,1.3540315106580167,31035962100
872.0,16.0,131.0,292.0,222.0,121.0,90.0,233.0,8.0,111.0,31,035,962200,1208.0,1.385321100917431,31035962200
878.0,17.0,184.0,352.0,214.0,79.0,32.0,146.0,15.0,57.0,31,037,964600,1079.0,1.2289293849658314,31037964600
463.0,9.0,73.0,208.0,78.0,82.0,13.0,160.0,0.0,20.0,31,037,964700,634.0,1.369330453563715,31037964700
1406.0,0.0,184.0,639.0,417.0,75.0,91.0,529.0,0.0,231.0,31,037,964800,2166.0,1.5405405405405406,31037964800
734.0,4.0,86.0,310.0,217.0,93.0,24.0,362.0,3.0,83.0,31,039,972700,1178.0,1.6049046321525886,31039972700
1152.0,15.0,224.0,498.0,317.0,78.0,20.0,470.0,45.0,213.0,31,039,972800,1865.0,1.6189236111111112,31039972800
682.0,25.0,104.0,291.0,164.0,73.0,25.0,304.0,42.0,95.0,31,039,972900,1098.0,1.6099706744868034,31039972900
732.0,18.0,116.0,207.0,234.0,88.0,69.0,250.0,9.0,102.0,31,041,971700,1075.0,1.4685792349726776,31041971700
878.0,8.0,119.0,311.0,261.0,130.0,49.0,322.0,29.0,98.0,31,041,971800,1319.0,1.5022779043280183,31041971800
1149.0,14.0,312.0,390.0,299.0,57.0,77.0,585.0,138.0,267.0,31,041,971900,2125.0,1.8494342906875545,31041971900
413.0,2.0,68.0,118.0,135.0,39.0,51.0,179.0,12.0,69.0,31,041,972000,671.0,1.6246973365617434,31041972000
668.0,87.0,96.0,371.0,100.0,14.0,0.0,782.0,141.0,314.0,31,043,010101,1818.0,2.7215568862275448,31043010101
479.0,11.0,117.0,140.0,109.0,71.0,31.0,528.0,25.0,170.0,31,043,010102,1191.0,2.4864300626304803,31043010102
1642.0,103.0,308.0,660.0,349.0,199.0,23.0,652.0,178.0,140.0,31,043,010200,2509.0,1.528014616321559,31043010200
1094.0,15.0,154.0,397.0,358.0,99.0,71.0,295.0,29.0,111.0,31,043,010300,1514.0,1.3839122486288848,31043010300
842.0,23.0,110.0,284.0,235.0,91.0,99.0,239.0,20.0,60.0,31,043,010400,1138.0,1.3515439429928742,31043010400
865.0,22.0,118.0,263.0,207.0,123.0,132.0,227.0,44.0,75.0,31,045,950600,1189.0,1.3745664739884393,31045950600
1285.0,14.0,326.0,470.0,289.0,113.0,73.0,1007.0,77.0,402.0,31,045,950700,2757.0,2.1455252918287937,31045950700
716.0,3.0,76.0,227.0,182.0,156.0,72.0,326.0,16.0,78.0,31,047,968000,1133.0,1.5824022346368716,31047968000
465.0,0.0,20.0,179.0,171.0,46.0,49.0,79.0,0.0,6.0,31,047,968100,550.0,1.1827956989247312,31047968100
1070.0,31.0,227.0,301.0,364.0,107.0,40.0,372.0,42.0,204.0,31,047,968200,1657.0,1.5485981308411214,31047968200
1078.0,12.0,208.0,479.0,241.0,104.0,34.0,581.0,152.0,194.0,31,047,968300,1993.0,1.8487940630797774,31047968300
1007.0,27.0,127.0,394.0,321.0,98.0,40.0,557.0,112.0,252.0,31,047,968400,1901.0,1.887785501489573,31047968400
908.0,0.0,159.0,243.0,388.0,75.0,43.0,981.0,124.0,371.0,31,047,968500,2384.0,2.6255506607929515,31047968500
549.0,0.0,105.0,183.0,102.0,135.0,24.0,110.0,0.0,21.0,31,047,968600,680.0,1.238615664845173,31047968600
639.0,8.0,118.0,257.0,155.0,56.0,45.0,134.0,5.0,57.0,31,049,955400,827.0,1.294209702660407,31049955400
793.0,15.0,105.0,278.0,217.0,122.0,56.0,234.0,9.0,85.0,31,051,977600,1106.0,1.394703656998739,31051977600
916.0,10.0,142.0,352.0,282.0,93.0,37.0,290.0,12.0,132.0,31,051,977800,1340.0,1.462882096069869,31051977800
1514.0,52.0,342.0,447.0,383.0,180.0,110.0,370.0,24.0,114.0,31,053,963600,1970.0,1.3011889035667108,31053963600
788.0,8.0,118.0,301.0,214.0,116.0,31.0,269.0,0.0,48.0,31,053,963700,1097.0,1.3921319796954315,31053963700
1048.0,0.0,160.0,445.0,245.0,102.0,96.0,1095.0,346.0,345.0,31,053,963800,2834.0,2.704198473282443,31053963800
817.0,9.0,167.0,323.0,256.0,52.0,10.0,709.0,46.0,413.0,31,053,963900,1976.0,2.4186046511627906,31053963900
885.0,28.0,200.0,396.0,176.0,29.0,56.0,526.0,67.0,214.0,31,053,964000,1664.0,1.880225988700565,31053964000
1571.0,0.0,350.0,697.0,382.0,103.0,39.0,291.0,0.0,59.0,31,053,964100,1921.0,1.2227880330999363,31053964100
718.0,25.0,126.0,385.0,127.0,42.0,13.0,729.0,119.0,354.0,31,053,964200,1895.0,2.639275766016713,31053964200
1279.0,93.0,188.0,586.0,249.0,75.0,88.0,895.0,61.0,478.0,31,053,964300,2620.0,2.0484753713838937,31053964300
806.0,3.0,206.0,345.0,134.0,18.0,100.0,329.0,0.0,89.0,31,053,964400,1221.0,1.5148883374689825,31053964400
909.0,87.0,340.0,302.0,139.0,16.0,25.0,420.0,42.0,167.0,31,055,000200,1451.0,1.5962596259625963,31055000200
358.0,28.0,129.0,93.0,84.0,14.0,10.0,631.0,168.0,333.0,31,055,000300,1462.0,4.083798882681564,31055000300
502.0,0.0,189.0,223.0,61.0,10.0,19.0,269.0,68.0,121.0,31,055,000400,960.0,1.9123505976095618,31055000400
368.0,0.0,228.0,94.0,40.0,6.0,0.0,646.0,10.0,332.0,31,055,000500,1356.0,3.6847826086956523,31055000500
196.0,15.0,47.0,61.0,44.0,16.0,13.0,400.0,108.0,201.0,31,055,000600,890.0,4.540816326530612,31055000600
137.0,16.0,70.0,31.0,20.0,0.0,0.0,410.0,78.0,216.0,31,055,000700,825.0,6.021897810218978,31055000700
386.0,13.0,165.0,95.0,76.0,37.0,0.0,374.0,34.0,187.0,31,055,000800,968.0,2.5077720207253886,31055000800
275.0,0.0,75.0,85.0,107.0,8.0,0.0,1070.0,446.0,316.0,31,055,001100,2107.0,7.661818181818182,31055001100
517.0,42.0,274.0,81.0,39.0,81.0,0.0,592.0,143.0,361.0,31,055,001200,1571.0,3.0386847195357833,31055001200
9.0,0.0,0.0,9.0,0.0,0.0,0.0,701.0,38.0,574.0,31,055,001600,1322.0,146.88888888888889,31055001600
407.0,10.0,253.0,144.0,0.0,0.0,0.0,2616.0,203.0,1928.0,31,055,001800,5144.0,12.638820638820638,31055001800
83.0,6.0,20.0,57.0,0.0,0.0,0.0,1207.0,340.0,695.0,31,055,001900,2319.0,27.93975903614458,31055001900
601.0,41.0,298.0,123.0,83.0,56.0,0.0,515.0,80.0,167.0,31,055,002000,1322.0,2.1996672212978368,31055002000
295.0,20.0,90.0,125.0,30.0,6.0,24.0,632.0,127.0,264.0,31,055,002100,1298.0,4.4,31055002100
266.0,5.0,80.0,86.0,60.0,0.0,35.0,293.0,7.0,158.0,31,055,002200,719.0,2.7030075187969924,31055002200
592.0,24.0,180.0,312.0,33.0,40.0,3.0,325.0,167.0,76.0,31,055,002300,1136.0,1.9189189189189189,31055002300
601.0,48.0,242.0,150.0,57.0,53.0,51.0,637.0,58.0,256.0,31,055,002400,1504.0,2.502495840266223,31055002400
617.0,10.0,128.0,225.0,117.0,58.0,79.0,237.0,10.0,119.0,31,055,002500,973.0,1.5769854132901135,31055002500
413.0,7.0,104.0,162.0,65.0,58.0,17.0,222.0,14.0,64.0,31,055,002600,706.0,1.7094430992736078,31055002600
473.0,17.0,93.0,74.0,214.0,56.0,19.0,292.0,46.0,159.0,31,055,002700,953.0,2.014799154334038,31055002700
717.0,26.0,333.0,128.0,81.0,111.0,38.0,343.0,0.0,182.0,31,055,002800,1216.0,1.695955369595537,31055002800
689.0,11.0,192.0,249.0,181.0,48.0,8.0,1006.0,217.0,280.0,31,055,002900,2181.0,3.165457184325109,31055002900
1859.0,115.0,588.0,544.0,330.0,210.0,72.0,294.0,50.0,20.0,31,055,003000,2108.0,1.1339429800968261,31055003000
964.0,94.0,281.0,286.0,137.0,50.0,116.0,431.0,122.0,99.0,31,055,003100,1522.0,1.5788381742738589,31055003100
337.0,7.0,59.0,152.0,51.0,52.0,16.0,613.0,167.0,235.0,31,055,003200,1345.0,3.9910979228486645,31055003200
369.0,9.0,148.0,153.0,49.0,0.0,10.0,241.0,28.0,87.0,31,055,003300,716.0,1.9403794037940378,31055003300
964.0,22.0,393.0,366.0,108.0,61.0,14.0,569.0,57.0,332.0,31,055,003401,1900.0,1.9709543568464731,31055003401
705.0,0.0,188.0,379.0,86.0,42.0,10.0,272.0,7.0,152.0,31,055,003402,1136.0,1.6113475177304966,31055003402
1289.0,9.0,548.0,677.0,45.0,10.0,0.0,741.0,119.0,349.0,31,055,003500,2489.0,1.930954228083786,31055003500
1344.0,6.0,577.0,600.0,99.0,53.0,9.0,583.0,73.0,191.0,31,055,003600,2185.0,1.6257440476190477,31055003600
906.0,26.0,439.0,272.0,137.0,23.0,9.0,247.0,0.0,62.0,31,055,003700,1189.0,1.3123620309050772,31055003700
711.0,24.0,186.0,382.0,97.0,22.0,0.0,897.0,222.0,392.0,31,055,003800,2198.0,3.0914205344585093,31055003800
184.0,0.0,63.0,70.0,40.0,11.0,0.0,688.0,85.0,373.0,31,055,003900,1330.0,7.228260869565218,31055003900
319.0,0.0,176.0,77.0,66.0,0.0,0.0,1677.0,412.0,1007.0,31,055,004000,3415.0,10.705329153605016,31055004000
157.0,0.0,87.0,57.0,13.0,0.0,0.0,605.0,58.0,410.0,31,055,004200,1230.0,7.834394904458598,31055004200
512.0,22.0,254.0,165.0,60.0,11.0,0.0,1226.0,271.0,719.0,31,055,004300,2706.0,5.28515625,31055004300
328.0,0.0,131.0,140.0,39.0,18.0,0.0,322.0,59.0,94.0,31,055,004400,803.0,2.448170731707317,31055004400
1157.0,93.0,564.0,372.0,89.0,29.0,10.0,436.0,9.0,255.0,31,055,004500,1764.0,1.5246326707000863,31055004500
729.0,59.0,90.0,473.0,95.0,0.0,12.0,401.0,58.0,170.0,31,055,004600,1299.0,1.7818930041152263,31055004600
822.0,0.0,135.0,404.0,203.0,28.0,52.0,13.0,0.0,6.0,31,055,004700,841.0,1.0231143552311435,31055004700
815.0,23.0,184.0,454.0,38.0,116.0,0.0,1432.0,126.0,779.0,31,055,004800,3129.0,3.8392638036809816,31055004800
561.0,42.0,149.0,275.0,95.0,0.0,0.0,1424.0,439.0,634.0,31,055,004900,3016.0,5.376114081996435,31055004900
389.0,0.0,113.0,189.0,60.0,21.0,6.0,1152.0,150.0,488.0,31,055,005000,2179.0,5.6015424164524426,31055005000
417.0,0.0,108.0,158.0,135.0,16.0,0.0,553.0,59.0,325.0,31,055,005100,1354.0,3.2470023980815346,31055005100
92.0,2.0,51.0,31.0,0.0,0.0,8.0,374.0,17.0,125.0,31,055,005200,606.0,6.586956521739131,31055005200
368.0,53.0,111.0,132.0,56.0,16.0,0.0,450.0,87.0,264.0,31,055,005300,1116.0,3.032608695652174,31055005300
665.0,105.0,218.0,250.0,40.0,49.0,3.0,669.0,59.0,331.0,31,055,005400,1619.0,2.4345864661654137,31055005400
1751.0,27.0,453.0,941.0,312.0,9.0,9.0,482.0,0.0,270.0,31,055,005500,2476.0,1.4140491147915477,31055005500
1139.0,42.0,210.0,618.0,233.0,36.0,0.0,586.0,20.0,264.0,31,055,005600,1967.0,1.726953467954346,31055005600
1387.0,17.0,535.0,513.0,286.0,36.0,0.0,664.0,127.0,295.0,31,055,005700,2456.0,1.7707281903388608,31055005700
1363.0,8.0,563.0,534.0,104.0,104.0,50.0,427.0,100.0,247.0,31,055,005800,2129.0,1.561995597945708,31055005800
328.0,37.0,149.0,94.0,23.0,25.0,0.0,659.0,100.0,373.0,31,055,005901,1423.0,4.338414634146342,31055005901
428.0,48.0,166.0,152.0,58.0,0.0,4.0,317.0,53.0,150.0,31,055,005902,900.0,2.102803738317757,31055005902
496.0,33.0,203.0,198.0,52.0,0.0,10.0,958.0,122.0,418.0,31,055,006000,1961.0,3.9536290322580645,31055006000
349.0,18.0,127.0,150.0,32.0,22.0,0.0,592.0,184.0,226.0,31,055,006101,1333.0,3.819484240687679,31055006101
924.0,22.0,351.0,396.0,86.0,16.0,53.0,568.0,16.0,407.0,31,055,006102,1893.0,2.0487012987012987,31055006102
1028.0,22.0,326.0,475.0,120.0,63.0,22.0,643.0,37.0,294.0,31,055,006202,1980.0,1.9260700389105059,31055006202
594.0,11.0,134.0,307.0,73.0,35.0,34.0,765.0,241.0,441.0,31,055,006301,2030.0,3.4175084175084174,31055006301
991.0,5.0,249.0,519.0,171.0,47.0,0.0,721.0,274.0,278.0,31,055,006302,2259.0,2.279515640766902,31055006302
488.0,8.0,144.0,194.0,116.0,26.0,0.0,601.0,160.0,286.0,31,055,006303,1527.0,3.1290983606557377,31055006303
1586.0,80.0,659.0,723.0,61.0,36.0,27.0,799.0,26.0,226.0,31,055,006400,2557.0,1.6122320302648172,31055006400
947.0,0.0,322.0,398.0,138.0,66.0,23.0,124.0,0.0,40.0,31,055,006503,1111.0,1.1731784582893348,31055006503
1058.0,55.0,255.0,465.0,195.0,76.0,12.0,414.0,40.0,317.0,31,055,006504,1774.0,1.6767485822306238,31055006504
386.0,4.0,69.0,186.0,70.0,43.0,14.0,396.0,194.0,141.0,31,055,006505,1113.0,2.883419689119171,31055006505
636.0,25.0,178.0,235.0,123.0,65.0,10.0,785.0,323.0,357.0,31,055,006506,2076.0,3.2641509433962264,31055006506
406.0,19.0,109.0,118.0,102.0,44.0,14.0,961.0,187.0,496.0,31,055,006603,2031.0,5.002463054187192,31055006603
1056.0,44.0,357.0,530.0,89.0,36.0,0.0,588.0,68.0,318.0,31,055,006604,1986.0,1.8806818181818181,31055006604
354.0,18.0,157.0,122.0,40.0,17.0,0.0,1276.0,281.0,566.0,31,055,006605,2459.0,6.946327683615819,31055006605
602.0,27.0,218.0,134.0,151.0,27.0,45.0,730.0,15.0,339.0,31,055,006606,1659.0,2.755813953488372,31055006606
1138.0,9.0,132.0,643.0,300.0,44.0,10.0,608.0,32.0,415.0,31,055,006701,2184.0,1.9191564147627416,31055006701
705.0,21.0,229.0,316.0,62.0,27.0,50.0,600.0,25.0,265.0,31,055,006703,1574.0,2.232624113475177,31055006703
464.0,16.0,76.0,275.0,97.0,0.0,0.0,290.0,0.0,205.0,31,055,006704,943.0,2.0323275862068964,31055006704
