total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
509.0,6.0,166.0,188.0,122.0,21.0,6.0,296.0,59.0,162.0,19,013,001900,1020.0,2.0039292730844793,19013001900
1816.0,21.0,537.0,595.0,329.0,167.0,167.0,698.0,146.0,370.0,19,013,002000,3009.0,1.6569383259911894,19013002000
1034.0,8.0,370.0,395.0,183.0,72.0,6.0,797.0,108.0,381.0,19,013,002200,2312.0,2.2359767891682787,19013002200
414.0,5.0,80.0,239.0,79.0,11.0,0.0,504.0,55.0,142.0,19,013,002301,1110.0,2.681159420289855,19013002301
30.0,0.0,18.0,12.0,0.0,0.0,0.0,419.0,11.0,89.0,19,013,002303,549.0,18.3,19013002303
415.0,34.0,92.0,207.0,18.0,29.0,35.0,612.0,30.0,217.0,19,013,002304,1240.0,2.9879518072289155,19013002304
1202.0,21.0,250.0,626.0,193.0,101.0,11.0,490.0,97.0,148.0,19,013,002400,1916.0,1.5940099833610648,19013002400
1706.0,23.0,477.0,853.0,230.0,109.0,14.0,625.0,173.0,207.0,19,013,002500,2688.0,1.5756154747948417,19013002500
1593.0,78.0,616.0,604.0,141.0,103.0,51.0,687.0,34.0,228.0,19,013,002601,2464.0,1.54676710608914,19013002601
1409.0,44.0,160.0,586.0,396.0,119.0,104.0,156.0,16.0,82.0,19,013,002604,1619.0,1.149041873669269,19013002604
1378.0,54.0,205.0,717.0,300.0,66.0,36.0,1092.0,66.0,579.0,19,013,002605,3061.0,2.22133526850508,19013002605
1757.0,0.0,204.0,643.0,646.0,213.0,51.0,153.0,0.0,0.0,19,013,002606,1910.0,1.087080250426864,19013002606
1326.0,5.0,163.0,659.0,363.0,91.0,45.0,174.0,2.0,52.0,19,013,002700,1549.0,1.1681749622926094,19013002700
915.0,0.0,62.0,396.0,240.0,163.0,54.0,128.0,14.0,64.0,19,013,002800,1121.0,1.2251366120218579,19013002800
466.0,0.0,58.0,214.0,118.0,60.0,16.0,21.0,0.0,8.0,19,013,002901,495.0,1.0622317596566524,19013002901
1246.0,12.0,224.0,580.0,275.0,113.0,42.0,242.0,15.0,124.0,19,013,002902,1615.0,1.296147672552167,19013002902
1582.0,35.0,365.0,716.0,361.0,84.0,21.0,606.0,37.0,251.0,19,013,003001,2441.0,1.5429835651074588,19013003001
1321.0,8.0,163.0,461.0,393.0,186.0,110.0,147.0,22.0,65.0,19,013,003002,1547.0,1.1710825132475398,19013003002
1039.0,16.0,109.0,532.0,222.0,102.0,58.0,309.0,97.0,82.0,19,015,020100,1511.0,1.4542829643888353,19015020100
1269.0,39.0,239.0,517.0,265.0,170.0,39.0,267.0,35.0,95.0,19,015,020200,1627.0,1.2821118991331757,19015020200
1775.0,48.0,403.0,691.0,468.0,134.0,31.0,751.0,160.0,352.0,19,015,020300,2990.0,1.684507042253521,19015020300
740.0,37.0,162.0,226.0,205.0,91.0,19.0,191.0,35.0,115.0,19,015,020400,1044.0,1.4108108108108108,19015020400
1709.0,16.0,334.0,548.0,443.0,194.0,174.0,341.0,38.0,150.0,19,015,020500,2222.0,1.3001755412521943,19015020500
810.0,66.0,98.0,265.0,191.0,168.0,22.0,35.0,0.0,12.0,19,015,020600,791.0,0.9765432098765432,19015020600
1186.0,2.0,294.0,406.0,217.0,190.0,77.0,298.0,28.0,141.0,19,015,020700,1651.0,1.3920741989881955,19015020700
314.0,23.0,140.0,100.0,29.0,22.0,0.0,279.0,45.0,149.0,19,017,004000,764.0,2.43312101910828,19017004000
1162.0,7.0,204.0,653.0,215.0,65.0,18.0,206.0,0.0,114.0,19,017,004100,1475.0,1.2693631669535284,19017004100
1409.0,20.0,399.0,715.0,181.0,94.0,0.0,394.0,40.0,161.0,19,017,004200,1984.0,1.4080908445706175,19017004200
658.0,14.0,105.0,253.0,137.0,91.0,58.0,51.0,0.0,19.0,19,017,004300,714.0,1.0851063829787233,19017004300
968.0,5.0,197.0,306.0,273.0,158.0,29.0,159.0,11.0,64.0,19,017,004400,1197.0,1.2365702479338843,19017004400
1003.0,3.0,159.0,341.0,306.0,134.0,60.0,133.0,13.0,44.0,19,017,004500,1190.0,1.1864406779661016,19017004500
1782.0,4.0,257.0,855.0,483.0,124.0,59.0,210.0,22.0,99.0,19,017,004600,2109.0,1.1835016835016836,19017004600
723.0,0.0,168.0,390.0,115.0,36.0,14.0,187.0,18.0,153.0,19,017,004700,1081.0,1.4951590594744122,19017004700
836.0,2.0,141.0,306.0,205.0,133.0,49.0,137.0,3.0,49.0,19,019,950100,1023.0,1.2236842105263157,19019950100
1081.0,60.0,150.0,340.0,311.0,95.0,125.0,183.0,29.0,43.0,19,019,950200,1276.0,1.1803885291396854,19019950200
902.0,51.0,137.0,370.0,212.0,85.0,47.0,167.0,18.0,81.0,19,019,950300,1117.0,1.2383592017738358,19019950300
916.0,31.0,237.0,289.0,209.0,143.0,7.0,227.0,18.0,132.0,19,019,950400,1262.0,1.3777292576419213,19019950400
1048.0,16.0,171.0,514.0,268.0,72.0,7.0,580.0,213.0,284.0,19,019,950500,2109.0,2.0124045801526718,19019950500
1477.0,44.0,177.0,473.0,467.0,189.0,127.0,233.0,8.0,69.0,19,019,950600,1743.0,1.180094786729858,19019950600
443.0,8.0,66.0,173.0,116.0,52.0,28.0,130.0,15.0,25.0,19,021,960100,605.0,1.3656884875846502,19021960100
602.0,18.0,142.0,199.0,164.0,40.0,39.0,128.0,4.0,58.0,19,021,960200,774.0,1.2857142857142858,19021960200
548.0,8.0,63.0,201.0,175.0,32.0,69.0,133.0,0.0,65.0,19,021,960300,738.0,1.3467153284671534,19021960300
1276.0,2.0,264.0,557.0,312.0,72.0,69.0,938.0,216.0,483.0,19,021,960400,2911.0,2.281347962382445,19021960400
1234.0,13.0,292.0,401.0,491.0,9.0,28.0,758.0,52.0,377.0,19,021,960500,2408.0,1.9513776337115072,19021960500
1052.0,3.0,161.0,438.0,287.0,70.0,93.0,264.0,26.0,109.0,19,021,960600,1448.0,1.376425855513308,19021960600
919.0,3.0,120.0,379.0,227.0,120.0,70.0,286.0,34.0,106.0,19,023,070100,1342.0,1.4602829162132753,19023070100
600.0,18.0,98.0,210.0,188.0,68.0,18.0,166.0,9.0,51.0,19,023,070200,808.0,1.3466666666666667,19023070200
976.0,5.0,208.0,415.0,210.0,93.0,45.0,289.0,77.0,140.0,19,023,070300,1477.0,1.5133196721311475,19023070300
1091.0,2.0,227.0,500.0,226.0,99.0,37.0,329.0,38.0,130.0,19,023,070400,1586.0,1.453712190650779,19023070400
997.0,18.0,131.0,457.0,240.0,95.0,56.0,207.0,13.0,76.0,19,023,070500,1275.0,1.2788365095285859,19023070500
870.0,7.0,225.0,332.0,201.0,74.0,31.0,239.0,17.0,123.0,19,025,950100,1242.0,1.4275862068965517,19025950100
