SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M
LSX,NWS,ST. LOUIS,MO/St Charles,4285910,701512,38.698889,-90.682778,185.3,30,215.3
LTX,NWS,WILMINGTON,NC/Shallotte,3763970,737496,33.989444,-78.428889,19.5,20,39.5
LVX,NWS,LOUISVILLE,KY/Fort Knox,4203600,592756,37.975278,-85.943889,219.2,30,249.2
LWX,NWS,BALTIMORE,MD/ WASHINGTON DC/Sterling,4316950,285356,38.975278,-77.477778,82.9,25,107.9
LZK,NWS,LITTLE ROCK,AR/North Little Rock,3855150,567458,34.836389,-92.262222,173.1,20,193.1
MAF,NWS,MIDLAND/ODESSA,TX/Midland,3537600,765708,31.943333,-102.18917,874.2,10,884.2
MAX,NWS,MEDFORD,OR/Jackson County,4658820,523389,42.081111,-122.71722,2290,10,2300
MBX,DOD,BISMARCK,ND/(Minot AFB),5361610,361941,48.3925,-100.865,455.1,20,475.1
MHX,NWS,MOREHEAD CITY,NC/Newport,3849820,328326,34.776111,-76.876111,9.4,30,39.4
MKX,NWS,MILWAUKEE,WI/Dousman,4758400,373550,42.967778,-88.550556,292,10,302
MLB,NWS,MELBOURNE,FL/Melbourne,3109810,533968,28.113333,-80.654167,10.7,20,30.7
MOB,NWS,MOBILE,AL/Mobile,3394730,381250,30.679444,-88.239722,63.4,20,83.4
MPX,NWS,MINNEAPOLIS,MN/Chanhassen,4966320,455309,44.848889,-93.565556,288.3,30,318.3
MQT,NWS,MARQUETTE,MI/Marquette,5153210,457949,46.531111,-87.548333,430.1,30,460.1
MRX,NWS,KNOXVILLE/TRI-CITIES,TN/Morristown,4005320,283986,36.168611,-83.401667,407.5,20,427.5
MSX,NWS,MISSOULA,MT/Missoula County,5214060,273161,47.041111,-113.98611,2394.2,10,2404.2
MTX,NWS,SALT LAKE CITY,UT/Elder County,4568940,378723,41.262778,-112.44778,1969,30,1999
MUX,NWS,SAN FRANCISCO,CA/Santa Clara County,4112670,597824,37.155278,-121.89833,1057.4,20,1077.4
MVX,NWS,EASTERN NORTH DAKOTA,ND/Mayville,5265180,626040,47.527778,-97.325556,300.5,20,320.5
MXX,DOD,BIRMINGHAM,AL/(Maxwell AFB RDA),3600570,613650,32.536667,-85.789722,121.9,30,151.9
NKX,NWS,SAN DIEGO,CA/San Diego,3642300,496079,32.918889,-117.04194,291.1,20,311.1
NQA,NWS,MEMPHIS,TN/Millington,3915060,238871,35.344722,-89.873333,86,20,106
OAX,NWS,OMAHA,NE/Valley,4577660,720402,41.320278,-96.366667,349.9,30,379.9
OHX,NWS,NASHVILLE,TN/Old Hickory,4011460,539308,36.247222,-86.5625,176.5,20,196.5
OKX,NWS,NEW YORK CITY,NY/Upton,4526030,680021,40.865556,-72.863889,25.9,30,55.9
OTX,NWS,SPOKANE,WA/Spokane,5280960,452965,47.680278,-117.62667,726.6,10,736.6
PAH,NWS,PADUCAH,KY/Paducah,4103920,342474,37.068333,-88.771944,119.5,30,149.5
PBZ,NWS,PITTSBURGH,PA/Coraopolis,4487060,566226,40.531667,-80.218056,361.2,20,381.2
PDT,NWS,PENDLETON,OR/Pendleton,5061340,355738,45.690556,-118.85278,461.8,10,471.8
POE,DOD,LAKE CHARLES,LA/Ft Polk Firing Pt 707,3446840,502303,31.155556,-92.975833,124.4,10,134.4
PUX,NWS,PUEBLO,CO/Pueblo County,4257110,571422,38.459444,-104.18139,1599.9,10,1609.9
